Activity,Start Time,End Time
A,1.0,5.0
B,1.0,6.33
C,5.0,9.0
D1,5.0,6.78
D2,6.78,11.22
D3,6.78,11.22
D4,11.22,17.89
D5,17.89,20.56
D6,17.89,21.22
D7,21.22,24.55
D8,24.55,25.88
E,9.0,17.0
F,25.88,29.88
G,25.88,27.55
H,29.88,35.21
